"Hash","Datum i vreme","Autor","Poruka komita"
"7b06214","2025-09-04 22:55","DESKTOP-4N736AQ\soxda","Created function for uploading multiple inspection images to S3 bucket."
"3e5d073","2025-08-31 15:06","JovanStefanovic87","Delete inspection confirmation and inspections list refresh"
"cc0f06b","2025-08-30 22:46","DESKTOP-4N736AQ\soxda","Adjusted JSReport report to support new structure and group elements by Anlage, Davor, Danach. Extracted data with elements and grouped state values to be able to display it in Report."
"7307abd","2025-08-30 20:49","DESKTOP-4N736AQ\soxda","Delete inspection implemented"
"637533a","2025-08-30 14:31","JovanStefanovic87","InpectionUpdate fix."
"0cf1d10","2025-08-30 13:11","JovanStefanovic87","Moving from D to E partition"
"af4d6fc","2025-08-30 10:29","JovanStefanovic87","Login - after credentials input login with one click"
"b531e1e","2025-08-29 20:36","DESKTOP-4N736AQ\soxda","Working on preparing data for displaying device elements and states in PDF Report"
"098a102","2025-07-11 18:59","JovanStefanovic87","copyInspection save id fix"
"8d4dec4","2025-07-01 20:11","JovanStefanovic87","handleUploadFromDevice"
"9962edc","2025-07-01 19:52","JovanStefanovic87","Duplicate inspection FE"
"0a792be","2025-06-29 16:34","DESKTOP-4N736AQ\soxda","Merge branch 'develop' of https://github.com/JovanStefanovic87/aircondition_app-native into develop"
"938418a","2025-06-29 16:34","DESKTOP-4N736AQ\soxda","Copy Inspection function created"
"fdcbf73","2025-06-21 15:03","JovanStefanovic87","LoginScreen - input placeholder changed to Gebruikersnaam"
"beaeab7","2025-06-20 21:16","DESKTOP-4N736AQ\soxda","Inspection data update - client data"
"f2966f3","2025-06-11 23:17","DESKTOP-4N736AQ\soxda","Merge branch 'feature/moving_user_mng_to_cloud' into develop"
"274e702","2025-06-11 23:01","DESKTOP-4N736AQ\soxda","Login joined with AC-Admin server. PDF button on inspection joined with JSReport"
"a27ad0a","2025-05-22 17:57","JovanStefanovic87","QuestionsScreen tabsContainer and groupHeader style fix"
"f4ed8fe","2025-05-20 23:35","DESKTOP-4N736AQ\soxda","Removing all user seeding"
"5e6e4c1","2025-05-20 23:30","DESKTOP-4N736AQ\soxda","Successfull login to Admin API. Session is stored in storage."
"a0baad8","2025-05-18 23:40","DESKTOP-4N736AQ\soxda","Changed auth functions, changed login screen, removed user and user role tables from database. Added environment files for storing API values."
"ad1fac9","2025-05-16 14:13","JovanStefanovic87","PdfButton, DuplicateButton"
"3462e30","2025-05-12 10:57","JovanStefanovic87","LoginForm style / NewInspection screen input update / getStoredUser bug need fix"
"0c9a775","2025-05-04 21:10","DESKTOP-4N736AQ\soxda","Fixing inspection type for clientId"
"6203881","2025-05-04 21:06","DESKTOP-4N736AQ\soxda","Fixing issue with inserting initial users"
"a39f184","2025-04-24 23:28","DESKTOP-4N736AQ\soxda","Moving DEV tools to new page that will be active only in dev mode"
"e32e7cf","2025-04-24 22:52","DESKTOP-4N736AQ\soxda","Fixed issues with login and logout"
"90ea264","2025-04-14 13:51","JovanStefanovic87","Prevent selecting all JA if any answer is NEIN / QuestionImages"
"116bd45","2025-04-14 11:04","JovanStefanovic87","QusetionsScreen - All yes button group"
"d493429","2025-04-03 23:58","DESKTOP-4N736AQ\soxda","Login and users added. Hash fixed"
"7a2a592","2025-04-03 22:04","DESKTOP-4N736AQ\soxda","Login page and auth functions"
"1949684","2025-03-26 22:00","DESKTOP-4N736AQ\soxda","Added functions for saving Question image and getting all question images"
"edda634","2025-03-26 21:17","DESKTOP-4N736AQ\soxda","Merge branch 'feature/saving-client-info' into develop"
"570251d","2025-03-26 21:17","DESKTOP-4N736AQ\soxda","Saving client information in inspection"
"934a628","2025-03-16 18:59","JovanStefanovic87","QuestionsScreen save comment onBlur"
"04afafe","2025-03-06 19:08","JovanStefanovic87","Qustons separated by InspectionType with tabs"
"58924ca","2025-03-06 18:48","JovanStefanovic87","Check is all questions answered / new inspection button in AllInspectionScreen"
"64fdfe9","2025-03-06 17:29","JovanStefanovic87","saveInspectionQuestion implmented in QuestionsScreen"
"f372a03","2025-03-06 12:39","JovanStefanovic87","Merge branch 'QuestionsScreen' into develop"
"764d5a9","2025-03-05 21:01","DESKTOP-4N736AQ\soxda","Fixing issue with saving question value"
"e519063","2025-03-05 18:32","JovanStefanovic87","Answer id's mapping"
"22f69bf","2025-03-05 14:23","JovanStefanovic87","QuestionsScreen outter layout"
"bfc470d","2025-03-05 10:07","JovanStefanovic87","QuestionsScreen styles"
"8065732","2025-02-27 20:08","JovanStefanovic87","QuestionsScreen - getInspectionQuestions"
"d324ba3","2025-02-27 19:35","JovanStefanovic87","deviceElementCompletitionStatus icon in ElementsStateScreen"
"9fd277f","2025-02-25 20:14","JovanStefanovic87","Delete image by image type"
"de43d7e","2025-02-25 19:18","JovanStefanovic87","InputNumberNullToString - added placeholder z.A."
"fddde43","2025-02-24 23:38","DESKTOP-4N736AQ\soxda","Added image buttons and functions"
"e804ac3","2025-02-24 20:36","DESKTOP-4N736AQ\soxda","Merge branch 'feature/delete-image' into develop"
"9b6a7e4","2025-02-24 20:34","DESKTOP-4N736AQ\soxda","Delete image file for Inspection Image"
"77e9350","2025-02-10 20:32","JovanStefanovic87","Zoom images"
"5bd08bb","2025-02-10 11:28","JovanStefanovic87","TakePicture - Aspect ratio"
"59fad62","2025-02-09 17:50","JovanStefanovic87","completition status by deviceElelement in progress"
"a40d013","2025-02-09 15:12","JovanStefanovic87","DeviceParameters - z.A. / note"
"876efaa","2025-02-02 14:58","JovanStefanovic87","getDeviceElementCompletionState implemented in ElementsStateScreen | titleComponents display in ElementsStateScreen fixed"
"8a0067e","2025-02-01 09:19","DESKTOP-4N736AQ\soxda","Fixing getDeviceElementCompletionState function."
"f43a179","2025-01-23 22:27","DESKTOP-4N736AQ\soxda","Created function for saving inspection question"
"26c5894","2025-01-23 14:32","JovanStefanovic87","Camera reset parent component - fix"
"5d11b34","2025-01-23 00:06","DESKTOP-4N736AQ\soxda","Merge branch 'develop' of https://github.com/JovanStefanovic87/aircondition_app-native into feature/inspection-questions"
"d11f18c","2025-01-23 00:04","DESKTOP-4N736AQ\soxda","Added getInspectionQuestions"
"41afc52","2025-01-20 11:08","JovanStefanovic87","Fullscreen images preview"
"41c3541","2025-01-20 09:49","JovanStefanovic87","ElementsStateScreen isCompleted fix"
"383d94e","2025-01-19 17:21","JovanStefanovic87","saveDeviceStateImage"
"e00b044","2025-01-19 16:05","DESKTOP-4N736AQ\soxda","Fixing getDeviceStateImages"
"30681a5","2025-01-19 16:03","DESKTOP-4N736AQ\soxda","Adding elementId param to getDeviceStateImages"
"8c319cc","2025-01-19 15:17","JovanStefanovic87","saveDeviceElementImage"
"77ae208","2025-01-19 14:41","DESKTOP-4N736AQ\soxda","Working on function that will return inspection questions"
"89a1410","2025-01-19 14:32","JovanStefanovic87","option for save or retake image"
"f9bb3de","2025-01-18 13:09","JovanStefanovic87","GalleryModal - Display images by groupTypeName and titleComponents"
"d5e12e7","2025-01-18 10:40","JovanStefanovic87","Rollback last change"
"ccba2eb","2025-01-18 10:02","JovanStefanovic87","ElementsStateScreen isCompleted status bug fix"
"2a6179c","2025-01-14 22:42","DESKTOP-4N736AQ\soxda","Removing some commented out code."
"5d97f4b","2025-01-14 22:37","DESKTOP-4N736AQ\soxda","Merge branch 'develop' of https://github.com/JovanStefanovic87/aircondition_app-native into develop"
"62c4d23","2025-01-14 22:20","DESKTOP-4N736AQ\soxda","Questions added in database and example for images fixed"
"e30297d","2025-01-11 19:18","JovanStefanovic87","inspectionDeviceElelements screen zoom enabled"
"6ed68da","2025-01-11 14:45","JovanStefanovic87","deviceElements and inspectionDeviceElements size fix"
"bbd62a1","2024-12-18 00:05","DESKTOP-4N736AQ\soxda","Merging two tables into one for saving device state images (2nd and 4th steps). Adding one more table for storing images for general device elements in 4th step."
"8afd1b3","2024-12-15 23:18","DESKTOP-4N736AQ\soxda","Working on saving images for: 1) Inspection - Whole Device 2) Device States 3) Device Element states"
"64dd127","2024-11-08 23:08","DESKTOP-4N736AQ\soxda","Step 4 - adding laboratory input sections"
"da3c244","2024-11-03 23:38","DESKTOP-4N736AQ\soxda","Laboratory added to step 2, and comment to inspection."
"b77e881","2024-09-09 22:20","DESKTOP-4N736AQ\soxda","Fixing v4.sql"
"0ce8f7f","2024-09-08 23:45","DESKTOP-4N736AQ\soxda","Fix for v4 sql"
"3788e4f","2024-09-08 12:17","DESKTOP-4N736AQ\soxda","Fixing v4.sql script"
"b6edb6b","2024-09-07 22:04","JovanStefanovic87","Added deviceStateComponents name in CollapsibleTableBody"
"c2af71d","2024-09-05 22:56","DESKTOP-4N736AQ\soxda","Fixing issues with sql scripts"
"ad34cb0","2024-09-01 14:08","DESKTOP-4N736AQ\soxda","Sql scripts finished for 4th step"
"764c051","2024-08-27 16:54","JovanStefanovic87","Translated ElementsStateScreen completion error to Dutch. Version for Luka testing."
"1e838c9","2024-08-25 23:28","DESKTOP-4N736AQ\soxda","Added completion state per device element in fourth step"
"5a7cf94","2024-08-24 14:08","JovanStefanovic87","AllInspectionsScreen / inspection data preview update"
"f2e53e5","2024-08-17 19:42","DESKTOP-4N736AQ\soxda","Adding support for double elements"
"712eb78","2024-08-11 10:22","JovanStefanovic87","ElementsStateScreen - getInspectionElementStateDetails works / bug if array has two same elements"
"3f3f6e8","2024-08-07 00:10","DESKTOP-4N736AQ\soxda","Removing console log"
"0388d72","2024-08-07 00:09","DESKTOP-4N736AQ\soxda","Fourth Step - function for filling components based on selected elements, function for getting all for fourth step"
"34af6dd","2024-08-01 22:59","DESKTOP-4N736AQ\soxda","Merge branch 'feature/fourth-step' into develop"
"eb93ac0","2024-08-01 22:49","DESKTOP-4N736AQ\soxda","fixing merge conflict"
"ab86995","2024-05-28 23:58","DESKTOP-4N736AQ\soxda","Moving display order from DeviceStateComponent to ElementTitle. Adding more data for step 4."
"cb45283","2024-05-26 18:33","DESKTOP-4N736AQ\soxda","Adding data to database. Fixing database structure for fourth step"
"f954256","2024-08-01 21:59","DESKTOP-4N736AQ\soxda","Fixing function for filling the components for second step in inspection."
"66edfcb","2024-06-04 14:37","JovanStefanovic87","DeviceElelement leyout change, Dropdown component refactor. Sent to Luka for testing."
"69b50e5","2024-06-03 10:24","JovanStefanovic87","Dropdown component fix - Placeholder excluded from options"
"ce90608","2024-06-02 22:19","DESKTOP-4N736AQ\soxda","Added 25 elements for 4th step. Fixed 2nd step with new changes to database."
"97f0478","2024-05-28 23:58","DESKTOP-4N736AQ\soxda","Moving display order from DeviceStateComponent to ElementTitle. Adding more data for step 4."
"e0e53dd","2024-05-26 23:15","DESKTOP-4N736AQ\soxda","Prep for 3th step release"
"a61e1fc","2024-05-26 18:33","DESKTOP-4N736AQ\soxda","Adding data to database. Fixing database structure for fourth step"
"be8db76","2024-05-19 11:23","JovanStefanovic87","Handling error messages"
"0153ec9","2024-05-16 15:59","JovanStefanovic87","Style bugs fix / code refactoring"
"eef53a8","2024-05-15 14:21","JovanStefanovic87","DeviceElementsScreen connected with InspectionDeviceStateScreen"
"abe2d0e","2024-05-14 11:01","JovanStefanovic87","DeviceElements scroller mob - 3 images in view"
"f942818","2024-05-12 10:22","JovanStefanovic87","inspectionDeviceElement deviceOrder value change."
"1c62d90","2024-05-11 19:58","JovanStefanovic87","deleteInspectionDeviceElement - every element deviceOrder value after deleted velue is decremented by 1 saveInspectionDeviceElement - deviceOrder is added based on inspectionDeviceElements length by positionId"
"4543e86","2024-05-09 20:46","JovanStefanovic87","saveInspecionDeviceElelemnt from carousel."
"af57f0a","2024-05-09 20:00","JovanStefanovic87","Delete inspectionDeviceElelemt"
"596e84d","2024-05-08 21:16","JovanStefanovic87","InspectionDeviceElements Display by elementPositionId"
"182b656","2024-05-06 15:36","JovanStefanovic87","Dropdown cross-screen error fix"
"29b7797","2024-05-06 12:38","JovanStefanovic87","Merge branch 'develop' of https://github.com/JovanStefanovic87/aircondition_app-native into develop"
"57e126c","2024-05-04 23:13","DESKTOP-4N736AQ\soxda","Added Elements positions.. Added saving elements sort orders."
"2781786","2024-05-04 20:45","JovanStefanovic87","Separating carousel for all elements from carousel for elements by zones"
"fb2a3f1","2024-05-03 19:58","JovanStefanovic87","DeviceElements shifting icons"
"4191288","2024-04-30 10:55","JovanStefanovic87","Carousel scroll fix"
"1d3b8c0","2024-04-28 21:14","JovanStefanovic87","Carousel scroll"
"a0d4167","2024-04-27 19:19","JovanStefanovic87","DeviceElementsScreen, Device elements picker container"
"170411d","2024-04-26 11:24","DESKTOP-4N736AQ\soxda","Created functions for getting inspection elements already saved. Created function for adding elements. Created function for deleting element from inspection."
"617495a","2024-04-22 22:53","DESKTOP-4N736AQ\soxda","Added some fixes"
"86bff46","2024-04-22 22:40","DESKTOP-4N736AQ\soxda","Fixed issue with missing connection when using query in useEffect"
"0d7ea87","2024-04-03 19:48","JovanStefanovic87","Error: Database not initialized"
"821d78d","2024-03-30 15:04","DESKTOP-4N736AQ\soxda","Device element types query function added"
"cbeeb61","2024-03-30 14:44","DESKTOP-4N736AQ\soxda","Merge branch 'feature/device-elements' into develop"
"69e3ea9","2024-03-11 11:13","JovanStefanovic87","App Version Ready for Client Presentation - Save and update basic information - Save and update deviceState - Get allInspections"
"2e77ed5","2024-03-30 14:35","DESKTOP-4N736AQ\soxda","Working on device elements and DeviceElementImage class"
"dc1a8f8","2024-03-27 23:52","DESKTOP-4N736AQ\soxda","Device elements with class DeviceElementImage using require. Database migration update v3.sql"
"9500a6d","2024-03-21 22:20","DESKTOP-4N736AQ\soxda","Migration added for device elements"
"e4470c1","2024-03-11 11:13","JovanStefanovic87","App Version Ready for Client Presentation - Save and update basic information - Save and update deviceState - Get allInspections"
"1ee6688","2024-03-07 20:18","JovanStefanovic87","DeviceState design fix"
"9583a9e","2024-03-06 19:54","JovanStefanovic87","saveInspection (device parameters - airVolume, constructionYear, lastMaintenance)"
"3193b13","2024-03-05 19:50","JovanStefanovic87","DeviceParameters form container, TS refacoring"
"a5eda3f","2024-03-05 10:16","JovanStefanovic87","Refactoring, emojis components name changed to deviceState."
"1b9d5a6","2024-03-04 16:15","JovanStefanovic87","Inspection stat update, deviceStateComponents validation"
"709d506","2024-03-03 13:19","JovanStefanovic87","DeviceState containers flex direction based on screen width"
"f381598","2024-03-02 23:16","DESKTOP-4N736AQ\soxda","Fix for null not beign able to be inserted or updated"
"1cbcac2","2024-03-01 20:50","JovanStefanovic87","Note can't save null"
"554cf97","2024-03-01 19:54","JovanStefanovic87","inspectionsStatus notificacion implemented, inspectioId fix"
"c511a15","2024-02-28 12:31","JovanStefanovic87","BarcodeSanner related app crash is fixed"
"c5b4866","2024-02-27 23:31","DESKTOP-4N736AQ\soxda","Handling images for inspection - functions"
"d429823","2024-02-27 13:04","JovanStefanovic87","App is crashing when camera is unmounts"
"6b49296","2024-02-25 23:34","DESKTOP-4N736AQ\soxda","Adding more properties in inspection. Fixing missing name for components."
"c6d2d82","2024-02-25 11:07","JovanStefanovic87","Barcode return wrong value in getInspectionById(). Fix required"
"1800c94","2024-02-24 00:00","DESKTOP-4N736AQ\soxda","Fixing migration script. Fixing inspection type"
"c8b324f","2024-02-23 23:46","DESKTOP-4N736AQ\soxda","Adding Inspection Statuses"
"2b69f42","2024-02-23 23:10","DESKTOP-4N736AQ\soxda","Fixing inspection update function"
"63614dc","2024-02-23 19:04","JovanStefanovic87","Open existing inspection, changed screen names NewInspectionScreen => InspectionBasicDetailsScreen / OngoingInspectionScreen => InspectionDeviceStateScreen"
"0e28453","2024-02-22 22:35","DESKTOP-4N736AQ\soxda","Added baseQuery for single object  - executeQuerySingle. Added function for getting single inspection - getInspectionById. ElementId excluded from getInspectionDeviceStateDetails."
"264af71","2024-02-22 17:54","JovanStefanovic87","AllInspectionsScreen"
"f250dc5","2024-02-21 17:25","JovanStefanovic87","saveInspectionDeviceState (on Smyle value (color) change or input onBlur"
"2865fcb","2024-02-19 00:38","DESKTOP-4N736AQ\soxda","Added saveInspectionDeviceState function to save values for device state"
"7832b41","2024-02-18 12:25","JovanStefanovic87","device components render"
"83c640f","2024-02-16 13:50","JovanStefanovic87","Merge branch 'saveNewInspectionFE' into develop"
"da159de","2024-02-16 13:48","JovanStefanovic87","Save new inspection"
"b21231d","2024-02-16 13:36","DESKTOP-4N736AQ\soxda","saveInspection, returns inspectionId"
"55cc4d2","2024-02-16 00:20","DESKTOP-4N736AQ\soxda","Fixing getInspectionDeviceStateDetails - deviceStateValue component added"
"ae71902","2024-02-15 11:02","DESKTOP-4N736AQ\soxda","Migracija v2.sql Funkcije za: Unos nove inspekcije, Vracanje komponenata"
"608c247","2024-02-03 16:55","DESKTOP-4N736AQ\soxda","Adding SQLite database, with migrations and data (DatabaseVersion, DeviceType, InspectionType, UserRole, User). Adding functions to automatically check database versions and update database. Adding functions to retreive data for DeviceTypes and InspectionTypes."
"d388e35","2024-01-21 20:07","JovanStefanovic87","Emoticons container height toggle"
"4dee414","2024-01-20 16:01","JovanStefanovic87","NewInspectionScreen design completed"
"efdab73","2024-01-19 12:20","JovanStefanovic87","Camera now working"
"dd4211b","2024-01-18 22:57","JovanStefanovic87","react native vision camera"
"531b5eb","2024-01-16 22:25","DESKTOP-4N736AQ\soxda","Project overwritten with new version"
"06be209","2024-01-10 20:14","JovanStefanovic87","Camera barcode"
"5877ca6","2023-12-02 13:31","JovanStefanovic87","First Android version"
"46b61ae","2023-11-17 09:22","JovanStefanovic87","First commit"
